run,family,model,batch_size,fine_tune_from,warmup_epochs,epochs_run,best_epoch,best_val_loss,best_val_accuracy,train_val_gap,total_params,trainable_params,trainable_pct,accuracy_fer2013,accuracy_ci95_fer2013,macro_f1_fer2013,weighted_f1_fer2013,accuracy_fane,accuracy_ci95_fane,macro_f1_fane,weighted_f1_fane,accuracy_drop,macro_f1_drop,macro_f1_drop_pct
custom_cnn_bs32,custom_cnn,custom_cnn,32,,0,27,17,1.2863242626190186,0.5616724491119385,-0.038896799087524414,1258119,1254919,99.74565204086417,0.5590693786570076,0.011486092975454137,0.4480815842655718,0.5371783227119137,0.34827011254689455,0.007783183041504308,0.2925804586621227,0.29048509138043344,0.21079926611011301,0.15550112560344914,34.703752857489846
custom_cnn_bs64,custom_cnn,custom_cnn,64,,0,57,47,1.1665194034576416,0.606620192527771,-0.006016433238983154,1258119,1254919,99.74565204086417,0.6111730286988019,0.011277546482726424,0.520349211872194,0.592998614619719,0.34618591079616506,0.007772257025672098,0.29414149893121116,0.28830365069293284,0.2649871179026368,0.2262077129409828,43.472288951317374
xception_1phase_bs32,xception_1phase,xception,32,block14_sepconv1,0,31,21,1.3004335165023804,0.5421602725982666,0.026708483695983887,21388591,5268231,24.63103343273056,0.5338534410699359,0.011540552708865138,0.482427970212197,0.5191463767713413,0.28553563984993746,0.007378800503940191,0.24932870363230966,0.24697867616835154,0.24831780121999847,0.23309926657988736,48.31794194630923
xception_2phase_bs32,xception_2phase,xception,32,block14_sepconv1,5,31,21,1.303437352180481,0.5362369418144226,0.033483266830444336,21388591,5268231,24.63103343273056,0.5280022290331569,0.011548941890827119,0.4697366075744405,0.5238640007862589,0.29512296790329307,0.007451153440585848,0.24877691346563904,0.25613962299401893,0.2328792611298638,0.22095969410880148,47.03906200748583
xception_full_bs32,xception_full,xception,32,all,5,21,11,0.9552639126777649,0.6592334508895874,0.022217094898223877,21388591,21279023,99.48772689140674,0.6585399832822513,0.010970220252789422,0.6209849385289778,0.6556385974306266,0.3761984160066694,0.007914018116256144,0.3393206873407458,0.3354803521623949,0.28234156727558185,0.2816642511882321,45.357662273654064
