run,model,batch_size,dataset,accuracy,macro_f1,weighted_f1
custom_cnn,custom_cnn,64,fer2013,0.6111730286988019,0.520349211872194,0.592998614619719
custom_cnn,custom_cnn,64,fane,0.34618591079616506,0.29414149893121116,0.28830365069293284
xception,xception,32,fer2013,0.6585399832822513,0.6209849385289778,0.6556385974306266
xception,xception,32,fane,0.3761984160066694,0.3393206873407458,0.3354803521623949
