run,model,batch_size,accuracy_fer2013,accuracy_fane,accuracy_drop,macro_f1_fer2013,macro_f1_fane,macro_f1_drop
custom_cnn,custom_cnn,64,0.6111730286988019,0.34618591079616506,0.2649871179026368,0.520349211872194,0.29414149893121116,0.2262077129409828
xception,xception,32,0.6585399832822513,0.3761984160066694,0.28234156727558185,0.6209849385289778,0.3393206873407458,0.2816642511882321
